index,age,area,pet,gender
0,minor,rural,yes,female
1,minor,rural,yes,female
2,minor,suburban,yes,female
3,senior,rural,no,female
4,adult,suburban,yes,female
5,minor,rural,yes,female
6,minor,urban,no,female
7,senior,urban,yes,male
8,adult,suburban,no,female
9,adult,suburban,no,female
10,minor,rural,no,female
11,minor,rural,yes,male
12,senior,suburban,yes,male
13,adult,rural,no,male
14,minor,rural,no,male
15,minor,suburban,no,female
16,adult,rural,yes,female
17,adult,suburban,yes,male
18,senior,rural,yes,male
19,adult,urban,yes,female
20,senior,suburban,no,female
21,senior,suburban,yes,female
22,minor,urban,yes,female
23,senior,suburban,yes,male
24,minor,rural,no,male
25,senior,rural,yes,male
26,adult,rural,yes,female
27,minor,suburban,no,female
28,senior,urban,yes,male
29,senior,rural,no,female
30,minor,urban,yes,female
31,minor,rural,yes,male
32,minor,suburban,no,female
33,adult,rural,no,female
34,adult,rural,yes,male
35,adult,urban,no,male
36,adult,suburban,yes,female
37,adult,suburban,no,female
38,adult,urban,yes,male
39,minor,urban,yes,female
40,minor,rural,yes,female
41,senior,urban,yes,male
42,minor,urban,no,male
43,adult,urban,no,male
44,minor,urban,yes,male
45,senior,urban,no,male
46,minor,rural,no,male
47,senior,rural,no,male
48,senior,suburban,yes,female
49,minor,rural,yes,female
50,minor,rural,no,female
51,adult,rural,yes,female
52,minor,rural,no,male
53,adult,rural,yes,male
54,senior,suburban,yes,male
55,minor,suburban,no,male
56,minor,urban,yes,female
57,senior,urban,yes,female
58,minor,suburban,yes,male
59,adult,urban,yes,male
60,minor,rural,yes,female
61,adult,suburban,yes,male
62,adult,suburban,no,female
63,adult,suburban,no,female
64,minor,suburban,yes,female
65,minor,suburban,yes,female
66,senior,rural,no,female
67,senior,rural,yes,female
68,senior,suburban,no,female
69,minor,suburban,no,female
70,minor,suburban,yes,female
71,adult,urban,no,male
72,minor,urban,yes,male
73,minor,suburban,no,female
74,minor,urban,yes,female
75,senior,suburban,no,male
76,minor,urban,no,female
77,adult,suburban,yes,female
78,minor,rural,yes,male
79,adult,urban,no,female
80,senior,suburban,no,male
81,minor,rural,no,male
82,senior,urban,no,male
83,adult,urban,no,female
84,minor,suburban,no,female
85,minor,suburban,no,male
86,senior,suburban,yes,female
87,adult,suburban,no,female
88,minor,rural,yes,male
89,senior,urban,no,female
90,senior,suburban,yes,female
91,senior,suburban,yes,male
92,senior,rural,yes,male
93,senior,urban,yes,female
94,senior,suburban,no,male
95,minor,urban,yes,female
96,senior,urban,no,female
97,senior,urban,no,male
98,adult,urban,no,male
99,senior,suburban,yes,female
